Column 1,Compte_Twitter,geoloc,lat,long,ville,nbre_oeuvre
Saint-Jean-de-Luz,OUI,"43.390277777778,-1.6597222222222",43.390277777778,-1.6597222222222,Saint-Jean-de-Luz,1
Saint-Maur-des-Fossés,OUI,"48.8025,2.4855555555556",48.8025,2.4855555555556,Saint-Maur-des-Fossés,1
Saint-Maurice-lès-Charencey,NON,"48.65,0.75805555555556",48.65,0.75805555555556,Saint-Maurice-lès-Charencey,1
Saint-Ouen-la-Thène,NON,"45.871388888889,-0.16277777777778",45.871388888889,-0.16277777777778,Saint-Ouen,1
Saint-Ouen-l'Aumône,NON,"49.044166666667,2.1102777777778",49.044166666667,2.1102777777778,Saint-Ouen-l'Aumône,1
Saint-Palais-sur-Mer,NON,"45.643333333333,-1.0883333333333",45.643333333333,-1.0883333333333,Saint-Palais-sur-Mer,1
Saint-Père,NON,"47.411944444444,2.9602777777778",47.411944444444,2.9602777777778,Saint-Père,1
Saint-Privat-la-Montagne,NON,"49.188888888889,6.0363888888889",49.188888888889,6.0363888888889,Saint-Privat-La-Montagne,1
Saint-Privé,NON,"46.691388888889,4.5702777777778",46.691388888889,4.5702777777778,Saint-Privé,1
Saint-Quay-Portrieux,OUI,"48.651944444444,-2.8311111111111",48.651944444444,-2.8311111111111,Saint-Quay-Portrieux,1
Saint-Rémy-de-Provence,NON,"43.789444444444,4.8316666666667",43.789444444444,4.8316666666667,Saint-Rémy-de-Provence,1
Sainte-Adresse,OUI,"49.506388888889,0.083333333333333",49.506388888889,0.083333333333333,Sainte-Adresse,1
